;
; ###########################################################################################################
; # CODE SUIVANT EST CHARGE pour le LEVEL 4 $7700=>$96FF (deux tracks A&B directement depuis la disquette) !
; ###########################################################################################################
;7700:4C 36 77    JMP $7736
7DF7:60          RTS
7DF8:FF                   ???
7DF9:01 D2       ORA ($D2,X)
7DFB:00          BRK
7DFC:64                   ???
7DFD:00          BRK
7DFE:00          BRK
7DFF:D2                   ???
7E00:64                   ???
7E01:C8          INY
7E02:01 01       ORA ($01,X)
7E04:01 41       ORA ($41,X)
7E06:05 00       ORA $00
7E08:01 41       ORA ($41,X)
7E0A:00          BRK
7E0B:00          BRK
7E0C:03                   ???
7E0D:01 AF       ORA ($AF,X)
7E0F:05 00       ORA $00
7E11:01 C8       ORA ($C8,X)
7E13:00          BRK
7E14:00          BRK
7E15:14                   ???
7E16:00          BRK
7E17:64                   ???
7E18:00          BRK
7E19:01 14       ORA ($14,X)
7E1B:64                   ???
7E1C:00          BRK
7E1D:06 00       ASL $00
7E1F:0C                   ???
7E20:00          BRK
7E21:18          CLC
7E22:00          BRK
7E23:30 00       BMI $7E25
7E25:60          RTS
7E26:00          BRK
7E27:40          RTI
7E28:01 00       ORA ($00,X)
7E2A:03                   ???
7E2B:06 00       ASL $00
7E2D:0C                   ???
7E2E:00          BRK
7E2F:18          CLC
7E30:00          BRK
7E31:30 00       BMI $7E33
7E33:60          RTS
7E34:00          BRK
7E35:40          RTI
7E36:01 00       ORA ($00,X)
7E38:03                   ???
7E39:28          PLP
7E3A:7F                   ???
7E3B:FD 7E D2    SBC $D27E,X
7E3E:7E A7 7E    ROR $7EA7,X
7E41:7C                   ???
7E42:7E 51 7E    ROR $7E51,X
7E45:51 7E       EOR ($7E),Y
7E47:7C                   ???
7E48:7E A7 7E    ROR $7EA7,X
7E4B:D2                   ???
7E4C:7E FD 7E    ROR $7EFD,X
7E4F:28          PLP
7E50:7F                   ???
7E51:05 70       ORA $70
7E53:04                   ???
7E54:04                   ???
7E55:6C 04 03    JMP ($0304)
7E58:68          PLA
7E59:03                   ???
7E5A:02                   ???
7E5B:65 03       ADC $03
7E5D:02                   ???
7E5E:62                   ???
7E5F:04                   ???
7E60:02                   ???
7E61:5E 04 01    LSR $0104,X
7E64:5A                   ???
7E65:06 01       ASL $01
7E67:54                   ???
7E68:06 01       ASL $01
7E6A:4E 06 00    LSR $0006
7E6D:48          PHA
7E6E:07                   ???
7E6F:00          BRK
7E70:41 06       EOR ($06,X)
7E72:00          BRK
7E73:3B                   ???
7E74:07                   ???
7E75:00          BRK
7E76:34                   ???
7E77:04                   ???
7E78:00          BRK
7E79:30 08       BMI $7E83
7E7B:FF                   ???
7E7C:0E 6F 03    ASL $036F
7E7F:0C                   ???
7E80:6C 04 0A    JMP ($0A04)
7E83:68          PLA
7E84:03                   ???
7E85:09 65       ORA #$65
7E87:03                   ???
7E88:08          PHP
7E89:62                   ???
7E8A:05 07       ORA $07
7E8C:5D 04 06    EOR $0604,X
7E8F:59 05 05    EOR $0505,Y
7E92:54                   ???
7E93:06 04       ASL $04
7E95:4E 06 03    LSR $0306
7E98:48          PHA
7E99:08          PHP
7E9A:02                   ???
7E9B:40          RTI
7E9C:05 02       ORA $02
7E9E:3B                   ???
7E9F:07                   ???
7EA0:01 34       ORA ($34,X)
7EA2:04                   ???
7EA3:00          BRK
7EA4:30 08       BMI $7EAE
7EA6:FF                   ???
7EA7:16 6D       ASL $6D,X
7EA9:03                   ???
7EAA:13                   ???
7EAB:6A          ROR
7EAC:03                   ???
7EAD:11 67       ORA ($67),Y
7EAF:04                   ???
7EB0:10 63       BPL $7F15
7EB2:03                   ???
7EB3:0E 60 03    ASL $0360
7EB6:0C                   ???
7EB7:5D 05 0B    EOR $0B05,X
7EBA:58          CLI
7EBB:05 09       ORA $09
7EBD:53                   ???
7EBE:06 07       ASL $07
7EC0:4D 06 06    EOR $0606
7EC3:47                   ???
7EC4:07                   ???
7EC5:05 40       ORA $40
7EC7:05 04       ORA $04
7EC9:3B                   ???
7ECA:07                   ???
7ECB:02                   ???
7ECC:34                   ???
7ECD:04                   ???
7ECE:01 30       ORA ($30,X)
7ED0:08          PHP
7ED1:FF                   ???
7ED2:1E 69 02    ASL $0269,X
7ED5:1B                   ???
7ED6:67                   ???
7ED7:03                   ???
7ED8:18          CLC
7ED9:64                   ???
7EDA:03                   ???
7EDB:17                   ???
7EDC:61 03       ADC ($03,X)
7EDE:15 5E       ORA $5E,X
7EE0:04                   ???
7EE1:13                   ???
7EE2:5A                   ???
7EE3:03                   ???
7EE4:11 57       ORA ($57),Y
7EE6:05 0E       ORA $0E
7EE8:52                   ???
7EE9:06 0C       ASL $0C
7EEB:4C 06 0A    JMP $0A06
7EEE:46 06       LSR $06
7EF0:08          PHP
7EF1:40          RTI
7EF2:05 06       ORA $06
7EF4:3B                   ???
7EF5:07                   ???
7EF6:04                   ???
7EF7:34                   ???
7EF8:04                   ???
7EF9:02                   ???
7EFA:30 08       BMI $7F04
7EFC:FF                   ???
7EFD:26 65       ROL $65
7EFF:02                   ???
7F00:22                   ???
7F01:63                   ???
7F02:02                   ???
7F03:1F                   ???
7F04:61 03       ADC ($03,X)
7F06:1C                   ???
7F07:5E 02 1A    LSR $1A02,X
7F0A:5C                   ???
7F0B:04                   ???
7F0C:18          CLC
7F0D:58          CLI
7F0E:05 14       ORA $14
7F10:53                   ???
7F11:03                   ???
7F12:12                   ???
7F13:50 05       BVC $7F1A
7F15:10 4B       BPL $7F62
7F17:06 0D       ASL $0D
7F19:45 06       EOR $06
7F1B:0A          ASL
7F1C:3F                   ???
7F1D:05 08       ORA $08
7F1F:3A                   ???
7F20:06 05       ASL $05
7F22:34                   ???
7F23:06 02       ASL $02
7F25:2E 06 FF    ROL $FF06
7F28:2C 5F 01    BIT $015F
7F2B:28          PLP
7F2C:5E 01 24    LSR $2401,X
7F2F:5D 02 21    EOR $2102,X
7F32:5B                   ???
7F33:02                   ???
7F34:1E 59 03    ASL $0359,X
7F37:1B                   ???
7F38:56 03       LSR $03,X
7F3A:18          CLC
7F3B:53                   ???
7F3C:05 15       ORA $15
7F3E:4E 05 12    LSR $1205
7F41:49 05       EOR #$05
7F43:0F                   ???
7F44:44                   ???
7F45:05 0B       ORA $0B
7F47:3F                   ???
7F48:05 08       ORA $08
7F4A:3A                   ???
7F4B:06 05       ASL $05
7F4D:34                   ???
7F4E:06 02       ASL $02
7F50:2E 06 FF    ROL $FF06
7F53:02                   ???
7F54:BB                   ???
7F55:5A                   ???
7F56:30 5F       BMI $7FB7
7F58:EE 3D A8    INC $A83D
7F5B:60          RTS
7F5C:00          BRK
7F5D:00          BRK
7F5E:00          BRK
7F5F:00          BRK
7F60:00          BRK
7F61:00          BRK
7F62:00          BRK
7F63:00          BRK
7F64:00          BRK
7F65:00          BRK
7F66:00          BRK
7F67:00          BRK
7F68:00          BRK
7F69:00          BRK
7F6A:00          BRK
7F6B:00          BRK
7F6C:00          BRK
7F6D:00          BRK
7F6E:00          BRK
7F6F:00          BRK
7F70:00          BRK
7F71:00          BRK
7F72:00          BRK
7F73:00          BRK
7F74:00          BRK
7F75:00          BRK
7F76:00          BRK
7F77:00          BRK
7F78:00          BRK
7F79:00          BRK
7F7A:00          BRK
7F7B:00          BRK
7F7C:00          BRK
7F7D:00          BRK
7F7E:00          BRK
7F7F:00          BRK
7F80:00          BRK
7F81:00          BRK
7F82:00          BRK
7F83:00          BRK
7F84:00          BRK
7F85:00          BRK
7F86:00          BRK
7F87:00          BRK
7F88:00          BRK
7F89:00          BRK
7F8A:00          BRK
7F8B:00          BRK
7F8C:00          BRK
7F8D:00          BRK
7F8E:00          BRK
7F8F:00          BRK
7F90:00          BRK
7F91:00          BRK
7F92:00          BRK
7F93:00          BRK
7F94:00          BRK
7F95:00          BRK
7F96:00          BRK
7F97:00          BRK
7F98:00          BRK
7F99:00          BRK
7F9A:00          BRK
7F9B:00          BRK
7F9C:00          BRK
7F9D:00          BRK
7F9E:00          BRK
7F9F:00          BRK
7FA0:00          BRK
7FA1:00          BRK
7FA2:00          BRK
7FA3:00          BRK
7FA4:00          BRK
7FA5:00          BRK
7FA6:00          BRK
7FA7:00          BRK
7FA8:00          BRK
7FA9:00          BRK
7FAA:00          BRK
7FAB:00          BRK
7FAC:00          BRK
7FAD:00          BRK
7FAE:00          BRK
7FAF:00          BRK
7FB0:00          BRK
7FB1:00          BRK
7FB2:00          BRK
7FB3:00          BRK
7FB4:00          BRK
7FB5:00          BRK
7FB6:00          BRK
7FB7:00          BRK
7FB8:00          BRK
7FB9:00          BRK
7FBA:00          BRK
7FBB:00          BRK
7FBC:00          BRK
7FBD:00          BRK
7FBE:00          BRK
7FBF:00          BRK
7FC0:00          BRK
7FC1:00          BRK
7FC2:00          BRK
7FC3:00          BRK
7FC4:00          BRK
7FC5:00          BRK
7FC6:00          BRK
7FC7:00          BRK
7FC8:00          BRK
7FC9:00          BRK
7FCA:00          BRK
7FCB:00          BRK
7FCC:00          BRK
7FCD:00          BRK
7FCE:00          BRK
7FCF:00          BRK
7FD0:00          BRK
7FD1:00          BRK
7FD2:00          BRK
7FD3:00          BRK
7FD4:00          BRK
7FD5:00          BRK
7FD6:00          BRK
7FD7:00          BRK
7FD8:00          BRK
7FD9:00          BRK
7FDA:00          BRK
7FDB:00          BRK
7FDC:00          BRK
7FDD:00          BRK
7FDE:00          BRK
7FDF:00          BRK
7FE0:00          BRK
7FE1:00          BRK
7FE2:00          BRK
7FE3:00          BRK
7FE4:00          BRK
7FE5:00          BRK
7FE6:00          BRK
7FE7:00          BRK
7FE8:00          BRK
7FE9:00          BRK
7FEA:00          BRK
7FEB:00          BRK
7FEC:00          BRK
7FED:00          BRK
7FEE:00          BRK
7FEF:00          BRK
7FF0:00          BRK
7FF1:00          BRK
7FF2:00          BRK
7FF3:00          BRK
7FF4:00          BRK
7FF5:00          BRK
7FF6:00          BRK
7FF7:00          BRK
7FF8:00          BRK
7FF9:00          BRK
7FFA:00          BRK
7FFB:00          BRK
7FFC:00          BRK
7FFD:00          BRK
7FFE:00          BRK
7FFF:00          BRK
8000:20 05 56    JSR $5605
8003:81 F6       STA ($F6,X)
8005:81 96       STA ($96,X)
8007:82                   ???
8008:36 83       ROL $83,X
800A:D6 83       DEC $83,X
800C:76 84       ROR $84,X
800E:16 85       ASL $85,X
8010:1C                   ???
8011:03                   ???
8012:B6 85       LDX $85,Y
8014:B6 85       LDX $85,Y
8016:B6 85       LDX $85,Y
8018:B6 85       LDX $85,Y
801A:B6 85       LDX $85,Y
801C:B6 85       LDX $85,Y
801E:B6 85       LDX $85,Y
8020:1C                   ???
8021:03                   ???
8022:0A          ASL
8023:86 0A       STX $0A
8025:86 0A       STX $0A
8027:86 0A       STX $0A
8029:86 0A       STX $0A
802B:86 0A       STX $0A
802D:86 0A       STX $0A
802F:86 18       STX $18
8031:03                   ???
8032:5E 86 A6    LSR $A686,X
8035:86 EE       STX $EE
8037:86 36       STX $36
8039:87                   ???
803A:7E 87 C6    ROR $C687,X
803D:87                   ???
803E:0E 88 18    ASL $1888
8041:04                   ???
8042:56 88       LSR $88,X
8044:B6 88       LDX $88,Y
8046:16 89       ASL $89,X
8048:76 89       ROR $89,X
804A:D6 89       DEC $89,X
804C:36 8A       ROL $8A,X
804E:96 8A       STX $8A,Y
8050:08          PHP
8051:06 EE       ASL $EE
8053:DD AE D7    CMP $D7AE,X
8056:AB                   ???
8057:87                   ???
8058:AA          TAX
8059:F2                   ???
805A:EA          NOP
805B:F5 E2       SBC $E2,X
805D:85 B8       STA $B8
805F:CA          DEX
8060:BB                   ???
8061:DD B8 87    CMP $87B8,X
8064:8E F7 AC    STX $ACF7
8067:CB                   ???
8068:AB                   ???
8069:9D CA AA    STA $AACA,X
806C:FA                   ???
806D:A5 EE       LDA $EE
806F:95 E8       STA $E8,X
8071:9D A5 9C    STA $9CA5,X
8074:95 87       STA $87,X
8076:CE CA E3    DEC $E3CA
8079:A7                   ???
807A:D5 84       CMP $84,X
807C:D4                   ???
807D:AA          TAX
807E:B9 AA D5    LDA $D5AA,Y
8081:8A          TXA
8082:08          PHP
8083:06 E8       ASL $E8
8085:F5 EA       SBC $EA,X
8087:F5 EE       SBC $EE,X
8089:85 AE       STA $AE
808B:A7                   ???
808C:AE D5 A8    LDX $A8D5
808F:87                   ???
8090:B8          CLV
8091:A7                   ???
8092:BA          TSX
8093:DD AB 9D    CMP $9DAB,X
8096:D4                   ???
8097:D4                   ???
8098:D3                   ???
8099:B5 CE       LDA $CE,X
809B:84 E4       STY $E4
809D:F1 A4       SBC ($A4),Y
809F:DD C8 87    CMP $87C8,X
80A2:D2                   ???
80A3:AA          TAX
80A4:B9 A4 CE    LDA $CEA4,Y
80A7:9C                   ???
80A8:BE AA 95    LDX $95AA,Y
80AB:C5 D3       CMP $D3
80AD:84 B8       STY $B8
80AF:AA          TAX
80B0:D5 9C       CMP $9C,X
80B2:D5 8A       CMP $8A,X
80B4:11 06       ORA ($06),Y
80B6:D5 AA       CMP $AA,X
80B8:D5 AA       CMP $AA,X
80BA:D5 8A       CMP $8A,X
80BC:D5 AA       CMP $AA,X
80BE:D5 AA       CMP $AA,X
80C0:D5 8A       CMP $8A,X
80C2:D5 AA       CMP $AA,X
80C4:D5 AA       CMP $AA,X
80C6:D5 8A       CMP $8A,X
80C8:D5 AA       CMP $AA,X
80CA:D5 AA       CMP $AA,X
80CC:D5 8A       CMP $8A,X
80CE:D7                   ???
80CF:AA          TAX
80D0:D5 AA       CMP $AA,X
80D2:D5 8E       CMP $8E,X
80D4:D4                   ???
80D5:AA          TAX
80D6:D5 AA       CMP $AA,X
80D8:D5 82       CMP $82,X
80DA:DC                   ???
80DB:AA          TAX
80DC:D5 AA       CMP $AA,X
80DE:D5 83       CMP $83,X
80E0:D0 AA       BNE $808C
80E2:D5 AA       CMP $AA,X
80E4:D5 80       CMP $80,X
80E6:F0 AA       BEQ $8092
80E8:D5 AA       CMP $AA,X
80EA:F5 80       SBC $80,X
80EC:C0 AA       CPY #$AA
80EE:D5 AA       CMP $AA,X
80F0:95 80       STA $80,X
80F2:C0 AA       CPY #$AA
80F4:D5 AA       CMP $AA,X
80F6:95 80       STA $80,X
80F8:C0 BB       CPY #$BB
80FA:F7                   ???
80FB:EE 9D 80    INC $809D
80FE:C0 EE       CPY #$EE
8100:DD BB 97    CMP $97BB,X
8103:80                   ???
8104:F0 AA       BEQ $80B0
8106:D5 AA       CMP $AA,X
8108:F5 80       SBC $80,X
810A:DC                   ???
810B:AA          TAX
810C:D5 AA       CMP $AA,X
810E:D5 83       CMP $83,X
8110:D7                   ???
8111:AA          TAX
8112:D5 AA       CMP $AA,X
8114:D5 8E       CMP $8E,X
8116:F7                   ???
8117:EE DD BB    INC $BBDD
811A:F7                   ???
811B:8E 0E 04    STX $040E
811E:AA          TAX
811F:F7                   ???
8120:AA          TAX
8121:F4                   ???
8122:2E 59 6B    ROL $6B59
8125:45 AB       EOR $AB
8127:DC                   ???
8128:82                   ???
8129:D5 2E       CMP $2E,X
812B:71 38       ADC ($38),Y
812D:1D EE F5    ORA $F5EE,X
8130:BA          TSX
8131:F5 3A       SBC $3A,X
8133:45 2F       EOR $2F
8135:14                   ???
8136:AA          TAX
8137:D5 EB       CMP $EB,X
8139:D5 3A       CMP $3A,X
813B:18          CLC
813C:6E 75 88    ROR $8875
813F:DD AC DD    CMP $DDAC,X
8142:2E 55 2E    ROL $2E55
8145:59 AE C5    EOR $C5AE,Y
8148:BB                   ???
8149:F4                   ???
814A:6B                   ???
814B:5D 3A 65    EOR $653A,X
814E:CE D4 E3    DEC $E3D4
8151:9D 0E 57    STA $570E,X
8154:3A                   ???
8155:5D 80 
; 7 Sprites de sauvage sur 5octets*32lignes soit 0xA0 octets par sprite (0x460 en tout)
8157:F0
8158:81 80       STA ($80,X)
815A:80                   ???
815B:80                   ???
815C:F0 83       BEQ $80E1
815E:80                   ???
815F:80                   ???
8160:80                   ???
8161:80                   ???
8162:C3                   ???
8163:87                   ???
8164:80                   ???
8165:80                   ???
8166:80                   ???
8167:E3                   ???
8168:87                   ???
8169:80                   ???
816A:80                   ???
816B:86 D3       STX $D3
816D:80                   ???
816E:80                   ???
816F:80                   ???
8170:BE F7 8E    LDX $8EF7,Y
8173:80                   ???
8174:80                   ???
8175:E6 DD       INC $DD
8177:83                   ???
8178:80                   ???
8179:80                   ???
817A:BE F7 8E    LDX $8EF7,Y
817D:80                   ???
817E:80                   ???
817F:E6 DD       INC $DD
8181:83                   ???
8182:80                   ???
8183:80                   ???
8184:E6 DD       INC $DD
8186:83                   ???
8187:80                   ???
8188:80                   ???
8189:DE EB 81    DEC $81EB,X
818C:80                   ???
818D:80                   ???
818E:9E                   ???
818F:FF                   ???
8190:81 80       STA ($80,X)
8192:80                   ???
8193:B6 FE       LDX $FE,Y
8195:80                   ???
8196:80                   ???
8197:80                   ???
8198:E6 FE       INC $FE
819A:9F                   ???
819B:80                   ???
819C:80                   ???
819D:C6 FF       DEC $FF
819F:BF                   ???
81A0:80                   ???
81A1:80                   ???
81A2:86 FF       STX $FF
81A4:B3                   ???
81A5:80                   ???
81A6:80                   ???
81A7:86 F0       STX $F0
81A9:B1 80       LDA ($80),Y
81AB:80                   ???
81AC:86 FC       STX $FC
81AE:87                   ???
81AF:80                   ???
81B0:80                   ???
81B1:C6 9F       DEC $9F
81B3:BF                   ???
81B4:80                   ???
81B5:80                   ???
81B6:C6 FF       DEC $FF
81B8:BF                   ???
81B9:80                   ???
81BA:80                   ???
81BB:C6 F1       DEC $F1
81BD:B1 80       LDA ($80),Y
81BF:80                   ???
81C0:DE F7 BD    DEC $BDF7,X
81C3:80                   ???
81C4:80                   ???
81C5:8E FE 8F    STX $8FFE
81C8:80                   ???
81C9:80                   ???
81CA:86 F8       STX $F8
81CC:83                   ???
81CD:80                   ???
81CE:80                   ???
81CF:80                   ???
81D0:80                   ???
81D1:80                   ???
81D2:80                   ???
81D3:80                   ???
81D4:80                   ???
81D5:80                   ???
81D6:80                   ???
81D7:80                   ???
81D8:80                   ???
81D9:80                   ???
81DA:80                   ???
81DB:80                   ???
81DC:80                   ???
81DD:80                   ???
81DE:80                   ???
81DF:80                   ???
81E0:80                   ???
81E1:80                   ???
81E2:80                   ???
81E3:80                   ???
81E4:80                   ???
81E5:80                   ???
81E6:80                   ???
81E7:80                   ???
81E8:80                   ???
81E9:80                   ???
81EA:80                   ???
81EB:80                   ???
81EC:80                   ???
81ED:80                   ???
81EE:80                   ???
81EF:80                   ???
81F0:80                   ???
81F1:80                   ???
81F2:80                   ???
81F3:80                   ???
81F4:80                   ???
81F5:80                   ???
81F6:80                   ???
81F7:80                   ???
81F8:8F                   ???
81F9:9E                   ???
81FA:80                   ???
81FB:80                   ???
81FC:80                   ???
81FD:9F                   ???
81FE:9F                   ???
81FF:80                   ???
8200:80                   ???
8201:80                   ???
8202:98          TYA
8203:83                   ???
8204:80                   ???
8205:80                   ???
8206:80                   ???
8207:98          TYA
8208:83                   ???
8209:80                   ???
820A:80                   ???
820B:98          TYA
820C:98          TYA
820D:83                   ???
820E:80                   ???
820F:80                   ???
8210:F8          SED
8211:DD BB 80    CMP $80BB,X
8214:80                   ???
8215:98          TYA
8216:F7                   ???
8217:8E 80 80    STX $8080
821A:F8          SED
821B:DD BB 80    CMP $80BB,X
821E:80                   ???
821F:98          TYA
8220:F7                   ???
8221:8E 80 80    STX $8080
8224:98          TYA
8225:F7                   ???
8226:8E 80 80    STX $8080
8229:F8          SED
822A:AE E7 80    LDX $80E7
822D:80                   ???
822E:F8          SED
822F:FC                   ???
8230:E7                   ???
8231:80                   ???
8232:80                   ???
8233:D8          CLD
8234:F9 B3 80    SBC $80B3,Y
8237:80                   ???
8238:98          TYA
8239:FB                   ???
823A:9B                   ???
823B:80                   ???
823C:80                   ???
823D:98          TYA
823E:FE 8F 80    INC $808F,X
8241:80                   ???
8242:98          TYA
8243:FC                   ???
8244:87                   ???
8245:80                   ???
8246:80                   ???
8247:98          TYA
8248:C0 87       CPY #$87
824A:80                   ???
824B:80                   ???
824C:98          TYA
824D:F0 9F       BEQ $81EE
824F:80                   ???
8250:80                   ???
8251:98          TYA
8252:FE FC 81    INC $81FC,X
8255:80                   ???
8256:98          TYA
8257:FE FF 81    INC $81FF,X
825A:80                   ???
825B:98          TYA
825C:C6 C7       DEC $C7
825E:81 80       STA ($80,X)
8260:F8          SED
8261:DE F7 81    DEC $81F7,X
8264:80                   ???
8265:B8          CLV
8266:F8          SED
8267:BF                   ???
8268:80                   ???
8269:80                   ???
826A:98          TYA
826B:E0 8F       CPX #$8F
826D:80                   ???
826E:80                   ???
826F:80                   ???
8270:80                   ???
8271:80                   ???
8272:80                   ???
8273:80                   ???
8274:80                   ???
8275:80                   ???
8276:80                   ???
8277:80                   ???
8278:80                   ???
8279:80                   ???
827A:80                   ???
827B:80                   ???
827C:80                   ???
827D:80                   ???
827E:80                   ???
827F:80                   ???
8280:80                   ???
8281:80                   ???
8282:80                   ???
8283:80                   ???
8284:80                   ???
8285:80                   ???
8286:80                   ???
8287:80                   ???
8288:80                   ???
8289:80                   ???
828A:80                   ???
828B:80                   ???
828C:80                   ???
828D:80                   ???
828E:80                   ???
828F:80                   ???
8290:80                   ???
8291:80                   ???
8292:80                   ???
8293:80                   ???
8294:80                   ???
8295:80                   ???
8296:80                   ???
8297:80                   ???
8298:80                   ???
8299:F8          SED
829A:80                   ???
829B:80                   ???
829C:80                   ???
829D:80                   ???
829E:FC                   ???
829F:80                   ???
82A0:80                   ???
82A1:80                   ???
82A2:BC 8C 80    LDY $808C,X
82A5:80                   ???
82A6:80                   ???
82A7:FC                   ???
82A8:8C 80 80    STY $8080
82AB:80                   ???
82AC:E0 8C       CPX #$8C
82AE:80                   ???
82AF:80                   ???
82B0:80                   ???
82B1:F7                   ???
82B2:EE 81 80    INC $8081
82B5:80                   ???
82B6:DC                   ???
82B7:BB                   ???
82B8:80                   ???
82B9:80                   ???
82BA:80                   ???
82BB:F7                   ???
82BC:EE 81 80    INC $8081
82BF:80                   ???
82C0:D8          CLD
82C1:BB                   ???
82C2:80                   ???
82C3:80                   ???
82C4:80                   ???
82C5:DC                   ???
82C6:BB                   ???
82C7:80                   ???
82C8:80                   ???
82C9:80                   ???
82CA:B8          CLV
82CB:9D 83 80    STA $8083,X
82CE:E0 F0       CPX #$F0
82D0:8F                   ???
82D1:83                   ???
82D2:80                   ???
82D3:E0 F0       CPX #$F0
82D5:CF                   ???
82D6:81 80       STA ($80,X)
82D8:E0 FE       CPX #$FE
82DA:EF                   ???
82DB:80                   ???
82DC:80                   ???
82DD:E0 FF       CPX #$FF
82DF:BF                   ???
82E0:80                   ???
82E1:80                   ???
82E2:E0 E3       CPX #$E3
82E4:9F                   ???
82E5:80                   ???
82E6:80                   ???
82E7:E0 E3       CPX #$E3
82E9:83                   ???
82EA:80                   ???
82EB:80                   ???
82EC:E0 F8       CPX #$F8
82EE:8F                   ???
82EF:80                   ???
82F0:80                   ???
82F1:E0 BF       CPX #$BF
82F3:FE 80 80    INC $8080,X
82F6:E0 FF       CPX #$FF
82F8:FF                   ???
82F9:80                   ???
82FA:80                   ???
82FB:E0 E3       CPX #$E3
82FD:E3                   ???
82FE:80                   ???
82FF:80                   ???
8300:E0 EF       CPX #$EF
8302:FB                   ???
8303:80                   ???
8304:80                   ???
8305:E0 FC       CPX #$FC
8307:9F                   ???
8308:80                   ???
8309:80                   ???
830A:E0 F0       CPX #$F0
830C:87                   ???
830D:80                   ???
830E:80                   ???
830F:E0 80       CPX #$80
8311:80                   ???
8312:80                   ???
8313:80                   ???
8314:E0 80       CPX #$80
8316:80                   ???
8317:80                   ???
8318:80                   ???
8319:E0 80       CPX #$80
831B:80                   ???
831C:80                   ???
831D:80                   ???
831E:E0 80       CPX #$80
8320:80                   ???
8321:80                   ???
8322:80                   ???
8323:E0 80       CPX #$80
8325:80                   ???
8326:80                   ???
8327:80                   ???
8328:E0 83       CPX #$83
832A:80                   ???
832B:80                   ???
832C:80                   ???
832D:E0 81       CPX #$81
832F:80                   ???
8330:80                   ???
8331:80                   ???
8332:E0 80       CPX #$80
8334:80                   ???
8335:80                   ???
8336:80                   ???
8337:80                   ???
8338:80                   ???
8339:E0 83       CPX #$83
833B:80                   ???
833C:80                   ???
833D:80                   ???
833E:F0 83       BEQ $82C3
8340:80                   ???
8341:80                   ???
8342:F0 B1       BEQ $82F5
8344:80                   ???
8345:80                   ???
8346:80                   ???
8347:F0 B3       BEQ $82FC
8349:80                   ???
834A:80                   ???
834B:80                   ???
834C:80                   ???
834D:B3                   ???
834E:80                   ???
834F:80                   ???
8350:80                   ???
8351:DC                   ???
8352:BB                   ???
8353:87                   ???
8354:80                   ???
8355:80                   ???
8356:F0 EE       BEQ $8346
8358:81 80       STA ($80,X)
835A:80                   ???
835B:DC                   ???
835C:BB                   ???
835D:87                   ???
835E:80                   ???
835F:80                   ???
8360:F0 EE       BEQ $8350
8362:81 80       STA ($80,X)
8364:80                   ???
8365:F0 EE       BEQ $8355
8367:81 80       STA ($80,X)
8369:80                   ???
836A:E0 F5       CPX #$F5
836C:8C 80 80    STY $8080
836F:C3                   ???
8370:BF                   ???
8371:8C 80 80    STY $8080
8374:C3                   ???
8375:BF                   ???
8376:86 80       STX $80
8378:80                   ???
8379:FB                   ???
837A:BF                   ???
837B:83                   ???
837C:80                   ???
837D:80                   ???
837E:FF                   ???
837F:FF                   ???
8380:81 80       STA ($80,X)
8382:80                   ???
8383:8F                   ???
8384:FF                   ???
8385:80                   ???
8386:80                   ???
8387:80                   ???
8388:8F                   ???
8389:8F                   ???
838A:80                   ???
838B:80                   ???
838C:80                   ???
838D:E3                   ???
838E:BF                   ???
838F:80                   ???
8390:80                   ???
8391:80                   ???
8392:FF                   ???
8393:F9 83 80    SBC $8083,Y
8396:80                   ???
8397:FF                   ???
8398:FF                   ???
8399:83                   ???
839A:80                   ???
839B:80                   ???
839C:8F                   ???
839D:8F                   ???
839E:83                   ???
839F:80                   ???
83A0:80                   ???
83A1:BF                   ???
83A2:EF                   ???
83A3:83                   ???
83A4:80                   ???
83A5:80                   ???
83A6:F3                   ???
83A7:FF                   ???
83A8:80                   ???
83A9:80                   ???
83AA:80                   ???
83AB:C3                   ???
83AC:9F                   ???
83AD:80                   ???
83AE:80                   ???
83AF:80                   ???
83B0:83                   ???
83B1:80                   ???
83B2:80                   ???
83B3:80                   ???
83B4:80                   ???
83B5:83                   ???
83B6:80                   ???
83B7:80                   ???
83B8:80                   ???
83B9:80                   ???
83BA:83                   ???
83BB:80                   ???
83BC:80                   ???
83BD:80                   ???
83BE:80                   ???
83BF:83                   ???
83C0:80                   ???
83C1:80                   ???
83C2:80                   ???
83C3:80                   ???
83C4:83                   ???
83C5:80                   ???
83C6:80                   ???
83C7:80                   ???
83C8:80                   ???
83C9:8F                   ???
83CA:80                   ???
83CB:80                   ???
83CC:80                   ???
83CD:80                   ???
83CE:87                   ???
83CF:80                   ???
83D0:80                   ???
83D1:80                   ???
83D2:80                   ???
83D3:83                   ???
83D4:80                   ???
83D5:80                   ???
83D6:80                   ???
83D7:C0 87       CPY #$87
83D9:8F                   ???
83DA:80                   ???
83DB:80                   ???
83DC:C0 CF       CPY #$CF
83DE:8F                   ???
83DF:80                   ???
83E0:80                   ???
83E1:80                   ???
83E2:CC 81 80    CPY $8081
83E5:80                   ???
83E6:80                   ???
83E7:CC 81 80    CPY $8081
83EA:80                   ???
83EB:80                   ???
83EC:CC 81 80    CPY $8081
83EF:80                   ???
83F0:F0 EE       BEQ $83E0
83F2:9D 80 80    STA $8080,X
83F5:C0 BB       CPY #$BB
83F7:87                   ???
83F8:80                   ???
83F9:80                   ???
